DEPARTAMENTO,MUNICIPIO,PAÍS
BOLIVAR,MONTECRISTO,COLOMBIA
BOLIVAR,MORALES,COLOMBIA
BOLIVAR,NOROSI,COLOMBIA
BOLIVAR,PINILLOS,COLOMBIA
BOLIVAR,REGIDOR,COLOMBIA
BOLIVAR,RIO VIEJO,COLOMBIA
BOLIVAR,SAN CRISTOBAL,COLOMBIA
BOLIVAR,SAN ESTANISLAO,COLOMBIA
BOLIVAR,SAN FERNANDO,COLOMBIA
BOLIVAR,SAN JACINTO,COLOMBIA
BOLIVAR,SAN JACINTO DEL CAUCA,COLOMBIA
BOLIVAR,SAN JUAN NEPOMUCENO,COLOMBIA
BOLIVAR,SAN MARTIN DE LOBA,COLOMBIA
BOLIVAR,SAN PABLO,COLOMBIA
BOLIVAR,SANTA CATALINA,COLOMBIA
BOLIVAR,SANTA ROSA,COLOMBIA
BOLIVAR,SANTA ROSA DEL SUR,COLOMBIA
BOLIVAR,SIMITI,COLOMBIA
BOLIVAR,SOPLAVIENTO,COLOMBIA
BOLIVAR,TALAIGUA NUEVO,COLOMBIA
BOLIVAR,TIQUISIO,COLOMBIA
BOLIVAR,TURBACO,COLOMBIA
BOLIVAR,TURBANA,COLOMBIA
BOLIVAR,VILLANUEVA,COLOMBIA
BOLIVAR,ZAMBRANO,COLOMBIA
BOYACA,ALMEIDA,COLOMBIA
BOYACA,AQUITANIA,COLOMBIA
BOYACA,ARCABUCO,COLOMBIA
BOYACA,BELEN,COLOMBIA
BOYACA,BOAVITA,COLOMBIA
BOYACA,BOYACA,COLOMBIA
BOYACA,BRICEÑO,COLOMBIA
BOYACA,BUENAVISTA,COLOMBIA
BOYACA,BUSBANZA,COLOMBIA
BOYACA,CALDAS,COLOMBIA
BOYACA,CAMPOHERMOSO,COLOMBIA
BOYACA,CERINZA,COLOMBIA
BOYACA,CHINAVITA,COLOMBIA
BOYACA,CHIQUINQUIRA,COLOMBIA
BOYACA,CHIQUIZA,COLOMBIA
BOYACA,CHITA,COLOMBIA
BOYACA,CHITARAQUE,COLOMBIA
BOYACA,CHIVATA,COLOMBIA
BOYACA,CHIVOR,COLOMBIA
BOYACA,CIENEGA,COLOMBIA
BOYACA,COMBITA,COLOMBIA
BOYACA,COPER,COLOMBIA
BOYACA,CORRALES,COLOMBIA
BOYACA,COVARACHIA,COLOMBIA
BOYACA,CUBARA,COLOMBIA
BOYACA,CUCAITA,COLOMBIA
BOYACA,CUITIVA,COLOMBIA
BOYACA,DUITAMA,COLOMBIA
BOYACA,EL COCUY,COLOMBIA
BOYACA,FIRAVITOBA,COLOMBIA
BOYACA,FLORESTA,COLOMBIA
BOYACA,GACHANTIVA,COLOMBIA
BOYACA,GAMEZA,COLOMBIA
BOYACA,GARAGOA,COLOMBIA
BOYACA,GUACAMAYAS,COLOMBIA
BOYACA,GUATEQUE,COLOMBIA
BOYACA,GUAYATA,COLOMBIA
BOYACA,IZA,COLOMBIA
BOYACA,JENESANO,COLOMBIA
BOYACA,JERICO,COLOMBIA
BOYACA,LA CAPILLA,COLOMBIA
BOYACA,LA UVITA,COLOMBIA
BOYACA,LABRANZAGRANDE,COLOMBIA
BOYACA,MACANAL,COLOMBIA
BOYACA,MARIPI,COLOMBIA
BOYACA,MIRAFLORES,COLOMBIA
BOYACA,MONGUA,COLOMBIA
BOYACA,MONGUI,COLOMBIA
BOYACA,MONIQUIRA,COLOMBIA
BOYACA,MOTAVITA,COLOMBIA
BOYACA,MUZO,COLOMBIA
BOYACA,NOBSA,COLOMBIA
BOYACA,NUEVO COLON,COLOMBIA
BOYACA,OICATA,COLOMBIA
BOYACA,OTANCHE,COLOMBIA
BOYACA,PACHAVITA,COLOMBIA
BOYACA,PAEZ,COLOMBIA
BOYACA,PAIPA,COLOMBIA
BOYACA,PAJARITO,COLOMBIA
BOYACA,PANQUEBA,COLOMBIA
BOYACA,PAUNA,COLOMBIA
BOYACA,PAYA,COLOMBIA
BOYACA,PAZ DE RIO,COLOMBIA
BOYACA,PESCA,COLOMBIA
BOYACA,PISBA,COLOMBIA
BOYACA,PUERTO BOYACA,COLOMBIA
BOYACA,QUIPAMA,COLOMBIA
BOYACA,RAMIRIQUI,COLOMBIA
BOYACA,RAQUIRA,COLOMBIA
BOYACA,SABOYA,COLOMBIA
BOYACA,SACHICA,COLOMBIA
BOYACA,SAMACA,COLOMBIA
BOYACA,SAN JOSE DE PARE,COLOMBIA
BOYACA,SAN LUIS DE GACENO,COLOMBIA
BOYACA,SAN MIGUEL DE SEMA,COLOMBIA
BOYACA,SAN PABLO DE BORBUR,COLOMBIA
BOYACA,SANTA MARIA,COLOMBIA
BOYACA,SANTA ROSA DE VITERBO,COLOMBIA
BOYACA,SANTA SOFIA,COLOMBIA
BOYACA,SANTANA,COLOMBIA
BOYACA,SATIVANORTE,COLOMBIA
BOYACA,SATIVASUR,COLOMBIA
BOYACA,SIACHOQUE,COLOMBIA
BOYACA,SOATA,COLOMBIA
BOYACA,SOCHA,COLOMBIA
BOYACA,SOCOTA,COLOMBIA
BOYACA,SOGAMOSO,COLOMBIA
BOYACA,SOMONDOCO,COLOMBIA
BOYACA,SORA,COLOMBIA
BOYACA,SORACA,COLOMBIA
BOYACA,SOTAQUIRA,COLOMBIA
BOYACA,SUSACON,COLOMBIA
BOYACA,SUTAMARCHAN,COLOMBIA
BOYACA,SUTATENZA,COLOMBIA
BOYACA,TASCO,COLOMBIA
BOYACA,TENZA,COLOMBIA
BOYACA,TIBANA,COLOMBIA
BOYACA,TIBASOSA,COLOMBIA
BOYACA,TINJACA,COLOMBIA
BOYACA,TIPACOQUE,COLOMBIA
BOYACA,TOCA,COLOMBIA
BOYACA,TOGUI,COLOMBIA
BOYACA,TOPAGA,COLOMBIA
BOYACA,TOTA,COLOMBIA
BOYACA,TUNJA,COLOMBIA
BOYACA,TURMEQUE,COLOMBIA
BOYACA,TUTA,COLOMBIA
BOYACA,TUTAZA,COLOMBIA
BOYACA,UMBITA,COLOMBIA
BOYACA,VENTAQUEMADA,COLOMBIA
BOYACA,VILLA DE LEYVA,COLOMBIA
BOYACA,VIRACACHA,COLOMBIA
BOYACA,ZETAQUIRA,COLOMBIA
CALDAS,AGUADAS,COLOMBIA
CALDAS,ANSERMA,COLOMBIA
CALDAS,ARANZAZU,COLOMBIA
CALDAS,BELALCAZAR,COLOMBIA
CALDAS,CHINCHINA,COLOMBIA
CALDAS,FILADELFIA,COLOMBIA
CALDAS,LA DORADA,COLOMBIA
CALDAS,LA MERCED,COLOMBIA
CALDAS,MANIZALES,COLOMBIA
CALDAS,MANZANARES,COLOMBIA
CALDAS,MARMATO,COLOMBIA
CALDAS,MARQUETALIA,COLOMBIA
CALDAS,MARULANDA,COLOMBIA
CALDAS,NEIRA,COLOMBIA
CALDAS,NORCASIA,COLOMBIA
CALDAS,PACORA,COLOMBIA
CALDAS,PALESTINA,COLOMBIA
CALDAS,PENSILVANIA,COLOMBIA
CALDAS,RIOSUCIO,COLOMBIA
